City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Cabinda,AO,77.56,light rain,-5.55,12.2,Hotel Maiombe
11,Hua Hin,TH,77.45,overcast clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
17,Rikitea,PF,75.13,light rain,-23.1203,-134.9692,People ThankYou
19,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
20,Kapoeta,SS,81.82,overcast clouds,4.7717,33.5903,Eastgate Hotel
25,Soyo,AO,77.54,overcast clouds,-6.1349,12.3689,Hotel Mpampa
29,Puerto Escondido,MX,82.6,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
30,Bengkulu,ID,76.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
35,Moa,CU,80.31,overcast clouds,20.6569,-74.9403,Carmen
37,Isangel,VU,82.51,clear sky,-19.55,169.2667,Tanna Lodge
38,Obong,PH,76.21,overcast clouds,9.741,123.5098,Triple B Resort
45,Meulaboh,ID,75.31,overcast clouds,4.1363,96.1285,Kost Pria
49,Hobyo,SO,79.61,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
50,Mandera,KE,83.35,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
56,Nisia Floresta,BR,80.98,few clouds,-6.0911,-35.2086,Rancho Crepusculo
75,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
77,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
80,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
81,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
84,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
89,Faanui,PF,78.13,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Marsh Harbour,BS,77.86,clear sky,26.5412,-77.0636,Abaco Beach Resort
98,San Patricio,US,86.41,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
110,Bartica,GY,79.12,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
118,Buala,SB,84.49,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
121,Kalmunai,LK,77.56,overcast clouds,7.4167,81.8167,VS Villa
123,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
125,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
133,Kavieng,PG,83.95,light rain,-2.5744,150.7967,Nusa Island Retreat
135,Irituia,BR,76.32,light rain,-1.7711,-47.4381,Hotel Irituia
137,Banda Aceh,ID,77.76,overcast clouds,5.5577,95.3222,Sulthan Hotel International
138,Kulhudhuffushi,MV,80.1,broken clouds,6.6221,73.07,Haajy Guest House 1
143,Phan Thiet,VN,76.91,broken clouds,10.9333,108.1,Hotel Saigon-PT
145,Felipe Carrillo Puerto,MX,77.52,scattered clouds,19.5833,-88.05,Hotel La Ceiba
156,Outram,MY,78.73,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
159,Bonthe,SL,75.6,light rain,7.5264,-12.505,Bonthe Holiday Village
160,Mahibadhoo,MV,82.92,broken clouds,3.7833,72.9667,Omadhoo Inn
161,Mucurapo,TT,82.45,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
166,Grand-Santi,GF,76.19,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
167,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
169,Hithadhoo,MV,82.65,overcast clouds,-0.6,73.0833,Scoop Guest House
176,Bintulu,MY,75.61,thunderstorm,3.1667,113.0333,900 Boutique INN
179,Mecca,SA,79.74,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
182,Namatanai,PG,84.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
185,Kariapatti,IN,76.06,moderate rain,9.6751,78.0999,RAJA RAVEHT TRADES AND SERVICES
187,Tahta,EG,78.91,overcast clouds,26.7693,31.5021,مصطفي عساف
188,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
193,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
194,Guider,CM,84.67,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
195,Acajutla,SV,81.05,overcast clouds,13.5928,-89.8275,asi es
196,Selma,US,79.84,overcast clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
197,Poum,NC,76.08,few clouds,-20.2333,164.0167,Gîte kajeon
198,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
202,Merauke,ID,83.35,overcast clouds,-8.4667,140.3333,
215,Pilar,BR,76.93,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
218,Samarai,PG,83.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
220,Kayes,ML,84.16,broken clouds,14.0,-11.0,
228,Mont-Dore,NC,80.58,clear sky,-22.2833,166.5833,GIte
229,Sao Filipe,CV,79.99,broken clouds,14.8961,-24.4956,Hotel Xaguate
238,Carutapera,BR,77.7,scattered clouds,-1.195,-46.02,Lidera
240,Ahuimanu,US,83.86,few clouds,21.4447,-157.8378,Paradise Bay Resort
245,Wanning,CN,75.76,overcast clouds,18.8003,110.3967,Paradise Hotel
246,Tual,ID,83.25,broken clouds,-5.6667,132.75,Grand Vilia Hotel
247,Cabo San Lucas,MX,87.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
252,Villa Union,MX,85.01,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
257,Kirakira,SB,86.27,broken clouds,-10.4544,161.9205,SanBiz Lodge
266,Auka,HN,78.69,overcast clouds,14.9333,-83.8333,
272,Marquelia,MX,82.54,broken clouds,16.5833,-98.8167,HOTEL CHAVEZ MARQUELIA
273,Abonnema,NG,77.0,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
280,Atambua,ID,79.81,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
283,Qui Nhon,VN,75.69,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
289,Liku,ID,76.26,overcast clouds,-0.7275,119.8922,Wahyu
294,Singarayakonda,IN,79.02,overcast clouds,15.25,80.0333,srinu tiffen center
304,Kudahuvadhoo,MV,82.85,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
309,Robinson,US,80.19,clear sky,31.4677,-97.1147,Flat Creek Farms RV Resort
310,Waingapu,ID,81.72,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
311,Yaan,NG,76.23,overcast clouds,7.3833,8.5667,
313,Boffa,GN,77.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
314,Phanat Nikhom,TH,81.16,overcast clouds,13.4458,101.1844,I-Destiny Gallery Resort
315,Tehachapi,US,77.32,broken clouds,35.1322,-118.449,"Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St., an IHG Hotel"
318,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
320,Avanigadda,IN,75.52,overcast clouds,16.0215,80.9181,AP Camping
321,Ladario,BR,77.29,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
325,Adrar,MR,79.18,overcast clouds,20.5022,-10.0711,
329,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
330,Dingle,PH,77.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
332,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
334,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
335,Claveria,PH,78.04,broken clouds,18.6074,121.0832,Casa Grand Inn By The Sea
342,Lorengau,PG,83.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
344,Kovur,IN,79.07,overcast clouds,14.4833,79.9833,Hotel Yesh Park
345,Manggar,ID,81.82,overcast clouds,-2.8833,108.2667,Guest Hotel
350,Upala,CR,77.4,overcast clouds,10.8979,-85.0145,Hotel El Pueblo Upala
351,Doha,QA,79.11,clear sky,25.2867,51.5333,Movenpick Hotel Doha
352,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
354,Pochutla,MX,81.14,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
355,Camargo,MX,82.96,clear sky,27.6667,-105.1667,Hotel Santa Fe
356,Cruzeiro Do Sul,BR,77.5,overcast clouds,-29.5128,-51.9853,Estrela Palace Hotel
367,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,"Gunjur, dalabaa lodge"
369,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
379,Bubaque,GW,79.21,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
381,Porbandar,IN,76.62,few clouds,21.6422,69.6093,Lords Inn Porbandar
385,Gladstone,AU,85.78,broken clouds,-23.85,151.25,Highpoint International
386,Conakry,GN,77.36,few clouds,9.538,-13.6773,Riviera Royal Hotel
387,Birnin Kebbi,NG,80.24,scattered clouds,12.4539,4.1975,Saffar Guest Inn Ltd
388,Nizwa,OM,75.15,clear sky,22.9333,57.5333,Orient Apartments
389,Guayaramerin,BO,83.68,broken clouds,-10.8368,-65.3614,Hostal Funf
391,Ipoh,MY,75.11,few clouds,4.5841,101.0829,Ritz Garden Hotel
392,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
393,Rabaul,PG,84.58,light rain,-4.1967,152.1721,Rabaul Hotel
394,San,ML,85.5,broken clouds,13.3034,-4.8956,Hôtel Teriya
395,Pandan,PH,79.97,overcast clouds,14.0453,124.1694,Bonifacio Lodge
399,Sabla,NG,83.26,broken clouds,12.7525,4.7077,
407,Gamba,GA,76.89,overcast clouds,-2.65,10.0,
409,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
429,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
431,Abu Dhabi,AE,82.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
432,Trinidad,BO,87.04,scattered clouds,-14.8333,-64.9,Hotel Piesta
433,Nanakuli,US,84.11,overcast clouds,21.3906,-158.1547,Camp Pālehua
436,Manado,ID,75.97,heavy intensity rain,1.487,124.8455,Aryaduta Hotel
440,Machali,CL,83.48,clear sky,-34.1833,-70.6667,Mining House
448,Candido Mendes,BR,75.27,scattered clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
449,Sur,OM,79.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
452,Mackay,AU,87.67,scattered clouds,-21.15,149.2,International Lodge Motel
459,Makakilo City,US,82.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
473,Labuan,MY,77.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
485,Luganville,VU,83.73,few clouds,-15.5333,167.1667,The Espiritu Hotel
493,Emerald,AU,83.98,few clouds,-23.5333,148.1667,The Irish Village
497,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
498,Lingig,PH,78.39,overcast clouds,8.0389,126.4125,BREXIE INN
499,Toma,BF,84.92,broken clouds,12.7667,-2.8833,Auberge de l'amitié
502,Carauari,BR,77.04,moderate rain,-4.8828,-66.8958,Hotel Fellip
503,Manokwari,ID,81.88,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
504,Gwadar,PK,81.64,clear sky,25.1216,62.3254,Sadaf Resort
505,Kieta,PG,81.09,light rain,-6.2167,155.6333,Uruna Bay Retreat
508,Birao,CF,76.26,overcast clouds,10.2849,22.7882,
511,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
512,Umm Lajj,SA,84.31,scattered clouds,25.0213,37.2685,Moon light Furnished Units
517,Lazaro Cardenas,MX,82.18,clear sky,17.9583,-102.2,quinta antigua
518,La Cruz,MX,86.47,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
519,Banikoara,BJ,78.67,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
522,Los Angeles,US,85.3,clear sky,34.0522,-118.2437,Kawada Hotel
525,Bandarbeyla,SO,78.66,light rain,9.4942,50.8122,JABIR HOTEL
526,Ormara,PK,80.08,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
528,Eha Amufu,NG,81.01,overcast clouds,6.6592,7.7596,Eden Resort
532,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
543,Orange,US,85.98,scattered clouds,33.7,-117.7675,Meadows
545,Kangaba,ML,77.31,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
546,Iracoubo,GF,79.48,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
548,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
