City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-10-30 01:52:54,-54.8,-68.3,42.46,56,20,24.16
1,Conceicao Do Araguaia,BR,2021-10-30 01:52:55,-8.2578,-49.2647,82.4,53,92,4.16
2,Butaritari,KI,2021-10-30 01:52:55,3.0707,172.7902,83.28,68,4,16.2
3,Cape Town,ZA,2021-10-30 01:48:16,-33.9258,18.4232,63.09,82,75,3.0
4,Gonen,TR,2021-10-30 01:52:56,40.1049,27.654,59.02,49,62,9.51
5,Harper,LR,2021-10-30 01:52:57,4.375,-7.7169,77.16,85,100,5.64
6,Albany,US,2021-10-30 01:52:57,42.6001,-73.9662,48.61,76,90,4.0
7,Arraial Do Cabo,BR,2021-10-30 01:52:58,-22.9661,-42.0278,68.92,89,100,17.52
8,Gejiu,CN,2021-10-30 01:52:58,23.306,103.1635,55.81,92,99,4.14
9,Salalah,OM,2021-10-30 01:50:45,17.0151,54.0924,77.25,70,7,3.38
10,Saint-Francois,FR,2021-10-30 01:52:59,46.4154,3.9054,59.68,68,0,14.97
11,Lebu,CL,2021-10-30 01:52:59,-37.6167,-73.65,54.07,88,85,18.32
12,Castro,BR,2021-10-30 01:53:00,-24.7911,-50.0119,60.58,93,97,10.0
13,Ribeira Grande,PT,2021-10-30 01:53:01,38.5167,-28.7,69.53,90,81,13.73
14,Saint George,US,2021-10-30 01:50:46,37.1041,-113.5841,72.19,40,1,1.01
15,Mungwi,ZM,2021-10-30 01:53:02,-10.1732,31.3694,64.15,56,16,2.86
16,Ancud,CL,2021-10-30 01:53:02,-41.8697,-73.8203,45.93,84,13,8.88
17,Muhos,FI,2021-10-30 01:53:03,64.808,25.9931,47.7,95,100,5.5
18,Ilulissat,GL,2021-10-30 01:53:03,69.2167,-51.1,20.7,93,100,6.06
19,Hobart,AU,2021-10-30 01:48:47,-42.8794,147.3294,56.26,59,75,1.99
20,Avarua,CK,2021-10-30 01:49:40,-21.2078,-159.775,77.05,65,75,12.66
21,Buriti Bravo,BR,2021-10-30 01:53:05,-5.8372,-43.8336,76.59,68,79,2.93
22,Rikitea,PF,2021-10-30 01:53:05,-23.1203,-134.9692,75.54,81,100,15.68
23,Shunyi,CN,2021-10-30 01:53:06,40.125,116.6453,60.84,76,0,2.24
24,Bahar,IR,2021-10-30 01:53:06,34.9072,48.4414,47.84,87,94,3.15
25,Esperance,AU,2021-10-30 01:53:07,-33.8667,121.9,62.44,53,0,4.29
26,Saint-Philippe,RE,2021-10-30 01:53:08,-21.3585,55.7679,69.48,82,55,8.25
27,Busselton,AU,2021-10-30 01:53:08,-33.65,115.3333,65.05,54,6,5.7
28,Isangel,VU,2021-10-30 01:53:09,-19.55,169.2667,82.51,78,75,5.75
29,Ngemplak,ID,2021-10-30 01:53:10,-7.5497,110.7164,84.31,68,100,9.66
30,Yellowknife,CA,2021-10-30 01:50:54,62.456,-114.3525,32.41,94,40,10.36
31,Carnarvon,AU,2021-10-30 01:53:11,-24.8667,113.6333,80.67,22,0,17.27
32,Longyearbyen,SJ,2021-10-30 01:50:44,78.2186,15.6401,16.9,91,100,5.68
33,Saint-Joseph,RE,2021-10-30 01:52:39,-21.3667,55.6167,68.47,83,48,7.99
34,Kupang,ID,2021-10-30 01:53:12,-10.1667,123.5833,88.38,70,40,8.05
35,Cockburn Town,TC,2021-10-30 01:52:33,21.4612,-71.1419,82.53,68,32,12.08
36,Mar Del Plata,AR,2021-10-30 01:48:18,-38.0023,-57.5575,61.88,96,20,15.01
37,Hermanus,ZA,2021-10-30 01:53:13,-34.4187,19.2345,58.89,86,68,0.56
38,Mahajanga,MG,2021-10-30 01:53:14,-15.7167,46.3167,73.42,83,40,2.3
39,Nouadhibou,MR,2021-10-30 01:53:14,20.931,-17.0347,69.78,68,0,16.11
40,Pevek,RU,2021-10-30 01:53:15,69.7008,170.3133,0.57,91,100,3.74
41,Port Alfred,ZA,2021-10-30 01:49:29,-33.5906,26.891,60.64,80,17,12.93
42,Tasiilaq,GL,2021-10-30 01:53:16,65.6145,-37.6368,13.89,69,25,8.34
43,Hirara,JP,2021-10-30 01:53:16,24.8,125.2833,80.46,65,40,6.91
44,Punta Arenas,CL,2021-10-30 01:51:58,-53.15,-70.9167,44.11,65,3,8.61
45,San Policarpo,PH,2021-10-30 01:53:17,12.1791,125.5072,83.21,77,15,13.65
46,Freeport,US,2021-10-30 01:50:20,40.6576,-73.5832,57.06,77,90,13.0
47,Bluff,NZ,2021-10-30 01:53:19,-46.6,168.3333,63.18,65,90,5.46
48,Mwene-Ditu,CD,2021-10-30 01:53:19,-7.0,23.45,63.81,97,38,3.53
49,Constitucion,CL,2021-10-30 01:53:20,-35.3333,-72.4167,57.96,69,100,12.19
