City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Kaihua,CN,23.3687,104.28,58.96,99,100,4.16,overcast clouds,2021-10-30 22:49:31
1,Ushuaia,AR,-54.8,-68.3,51.46,46,0,18.41,clear sky,2021-10-30 22:46:37
2,Luderitz,NA,-26.6481,15.1594,58.48,93,9,3.0,clear sky,2021-10-30 22:49:32
3,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,93,100,14.43,overcast clouds,2021-10-30 22:49:32
4,Kapaa,US,22.0752,-159.319,80.58,86,40,4.0,scattered clouds,2021-10-30 22:49:33
5,Barrow,US,71.2906,-156.7887,15.82,86,90,4.61,overcast clouds,2021-10-30 22:49:34
6,Port Alfred,ZA,-33.5906,26.891,65.75,81,85,4.52,overcast clouds,2021-10-30 22:46:10
7,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,100,75,8.05,broken clouds,2021-10-30 22:49:35
8,Saskylakh,RU,71.9167,114.0833,12.45,92,100,12.35,overcast clouds,2021-10-30 22:49:36
9,Mataura,NZ,-46.1927,168.8643,48.25,97,100,14.07,light rain,2021-10-30 22:49:36
10,Cabinda,AO,-5.55,12.2,77.56,86,91,8.52,light rain,2021-10-30 22:49:37
11,Hua Hin,TH,12.5707,99.9588,77.45,87,100,4.23,overcast clouds,2021-10-30 22:49:37
12,New Norfolk,AU,-42.7826,147.0587,59.67,42,91,8.25,overcast clouds,2021-10-30 22:49:38
13,Nikolskoye,RU,59.7035,30.7861,47.01,93,93,7.2,overcast clouds,2021-10-30 22:49:39
14,Izumo,JP,35.3667,132.7667,57.15,100,40,3.44,scattered clouds,2021-10-30 22:49:39
15,Corner Brook,CA,48.9667,-57.9484,39.33,69,1,1.54,clear sky,2021-10-30 22:49:40
16,Upernavik,GL,72.7868,-56.1549,28.13,62,100,11.95,overcast clouds,2021-10-30 22:49:40
17,Rikitea,PF,-23.1203,-134.9692,75.13,85,84,21.0,light rain,2021-10-30 22:47:06
18,Portland,US,45.5234,-122.6762,63.59,39,20,1.99,few clouds,2021-10-30 22:47:36
19,Georgetown,MY,5.4112,100.3354,78.73,92,40,5.99,scattered clouds,2021-10-30 22:45:10
20,Kapoeta,SS,4.7717,33.5903,81.82,42,96,5.53,overcast clouds,2021-10-30 22:49:42
21,Guerrero Negro,MX,27.9769,-114.0611,73.04,57,0,13.35,clear sky,2021-10-30 22:49:42
22,Busselton,AU,-33.65,115.3333,53.58,83,95,4.29,overcast clouds,2021-10-30 22:49:43
23,Cape Town,ZA,-33.9258,18.4232,62.11,79,0,6.91,clear sky,2021-10-30 22:45:43
24,Talagang,PK,32.9297,72.4158,65.32,38,0,2.37,clear sky,2021-10-30 22:49:44
25,Soyo,AO,-6.1349,12.3689,77.54,84,96,9.95,overcast clouds,2021-10-30 22:49:44
26,Leh,IN,34.1667,77.5833,23.38,58,6,4.5,clear sky,2021-10-30 22:49:45
27,Srednekolymsk,RU,67.45,153.6833,-4.4,96,100,6.13,overcast clouds,2021-10-30 22:49:45
28,Asau,RO,46.4333,26.4,39.76,95,0,2.26,clear sky,2021-10-30 22:49:46
29,Puerto Escondido,MX,15.85,-97.0667,82.6,77,83,3.24,broken clouds,2021-10-30 22:49:46
30,Bengkulu,ID,-3.8004,102.2655,76.01,90,100,5.53,overcast clouds,2021-10-30 22:49:47
31,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,90,9.22,mist,2021-10-30 22:49:47
32,Iqaluit,CA,63.7506,-68.5145,37.13,69,75,11.99,broken clouds,2021-10-30 22:49:48
33,Khatanga,RU,71.9667,102.5,-1.91,99,83,0.81,broken clouds,2021-10-30 22:49:48
34,Hilo,US,19.7297,-155.09,82.13,72,40,8.05,scattered clouds,2021-10-30 22:47:31
35,Moa,CU,20.6569,-74.9403,80.31,76,98,1.63,overcast clouds,2021-10-30 22:49:49
36,Borogontsy,RU,62.6683,131.1683,-7.2,100,78,3.56,broken clouds,2021-10-30 22:49:50
37,Isangel,VU,-19.55,169.2667,82.51,61,1,3.44,clear sky,2021-10-30 22:49:50
38,Obong,PH,9.741,123.5098,76.21,90,100,15.77,overcast clouds,2021-10-30 22:49:51
39,Saint-Augustin,CA,51.226,-58.6502,43.97,60,9,2.57,clear sky,2021-10-30 22:49:52
40,Clyde River,CA,70.4692,-68.5914,28.63,100,90,26.46,snow,2021-10-30 22:49:52
41,Norman Wells,CA,65.282,-126.8329,19.44,93,40,4.61,scattered clouds,2021-10-30 22:49:53
42,Yellowknife,CA,62.456,-114.3525,29.41,85,75,8.01,broken clouds,2021-10-30 22:45:32
43,Klyuchi,RU,52.2667,79.1667,37.15,62,100,15.48,overcast clouds,2021-10-30 22:49:54
44,Namibe,AO,-15.1961,12.1522,66.06,79,58,7.38,broken clouds,2021-10-30 22:49:54
45,Meulaboh,ID,4.1363,96.1285,75.31,87,92,4.61,overcast clouds,2021-10-30 22:49:55
46,Seddon,AU,-37.8068,144.8916,60.3,70,20,6.91,few clouds,2021-10-30 22:49:55
47,Marica,BR,-22.9194,-42.8186,73.56,90,100,11.79,overcast clouds,2021-10-30 22:49:10
48,Saint Anthony,US,45.0205,-93.218,58.89,59,1,1.01,clear sky,2021-10-30 22:49:56
49,Hobyo,SO,5.3505,48.5268,79.61,69,9,13.6,clear sky,2021-10-30 22:49:57
50,Mandera,KE,3.9366,41.867,83.35,44,80,8.08,broken clouds,2021-10-30 22:49:58
51,Lebu,CL,-37.6167,-73.65,53.06,82,100,13.6,overcast clouds,2021-10-30 22:45:59
52,Qaanaaq,GL,77.484,-69.3632,2.21,54,0,7.85,clear sky,2021-10-30 22:46:36
53,Kaitangata,NZ,-46.2817,169.8464,50.41,92,99,18.39,light rain,2021-10-30 22:49:59
54,Fremont,US,37.5483,-121.9886,71.22,78,75,5.01,broken clouds,2021-10-30 22:47:46
55,Provideniya,RU,64.3833,-173.3,15.21,73,90,9.78,overcast clouds,2021-10-30 22:50:00
56,Nisia Floresta,BR,-6.0911,-35.2086,80.98,74,24,13.4,few clouds,2021-10-30 22:50:01
57,Beringovskiy,RU,63.05,179.3167,8.06,94,98,19.04,overcast clouds,2021-10-30 22:50:02
58,Tateyama,JP,34.9833,139.8667,60.03,73,99,6.15,light rain,2021-10-30 22:50:03
59,Cherskiy,RU,68.75,161.3,-0.2,98,100,5.86,light snow,2021-10-30 22:46:38
60,Rio Sereno,PA,8.8167,-82.8667,69.84,98,100,0.67,heavy intensity rain,2021-10-30 22:50:04
61,Vardo,NO,70.3705,31.1107,38.77,73,97,10.4,overcast clouds,2021-10-30 22:50:05
62,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,74,2.33,broken clouds,2021-10-30 22:50:06
63,Kruisfontein,ZA,-34.0033,24.7314,52.88,92,2,3.67,clear sky,2021-10-30 22:50:07
64,Port Hardy,CA,50.6996,-127.4199,46.58,71,20,3.44,few clouds,2021-10-30 22:50:07
65,Albany,US,42.6001,-73.9662,57.78,92,95,1.01,overcast clouds,2021-10-30 22:50:08
66,Punta Arenas,CL,-53.15,-70.9167,53.71,43,0,14.97,clear sky,2021-10-30 22:50:08
67,Hermanus,ZA,-34.4187,19.2345,61.9,89,48,8.39,scattered clouds,2021-10-30 22:50:09
68,Castro,BR,-24.7911,-50.0119,60.85,96,89,8.34,overcast clouds,2021-10-30 22:50:09
69,Katsuura,JP,35.1333,140.3,60.12,74,100,4.29,overcast clouds,2021-10-30 22:50:10
70,Mahebourg,MU,-20.4081,57.7,70.25,94,20,3.44,few clouds,2021-10-30 22:47:53
71,Esperance,AU,-33.8667,121.9,55.24,56,11,13.94,few clouds,2021-10-30 22:50:11
72,Rawson,AR,-43.3002,-65.1023,48.92,63,87,22.17,overcast clouds,2021-10-30 22:50:11
73,Tabuk,PH,17.4189,121.4443,72.27,85,28,1.48,scattered clouds,2021-10-30 22:50:12
74,Qaqortoq,GL,60.7167,-46.0333,29.86,74,86,4.07,overcast clouds,2021-10-30 22:50:12
75,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,13.8,few clouds,2021-10-30 22:50:13
76,Klaksvik,FO,62.2266,-6.589,47.32,92,100,13.82,overcast clouds,2021-10-30 22:50:14
77,Vaini,TO,-21.2,-175.2,78.96,83,20,11.5,few clouds,2021-10-30 22:50:14
78,Caravelas,BR,-17.7125,-39.2481,73.24,88,96,7.29,overcast clouds,2021-10-30 22:50:15
79,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,0,10.36,clear sky,2021-10-30 22:50:15
